ticker,period,date,premium_discount_pct
RSP,previousYear,2025-12-04,0.006146
RSP,previousYear,2025-12-05,-0.016419
RSP,previousYear,2025-12-06,-0.016419
RSP,previousYear,2025-12-07,-0.016419
RSP,previousYear,2025-12-08,0.011868
RSP,previousYear,2025-12-09,0.011759
RSP,previousYear,2025-12-10,0.014831
RSP,previousYear,2025-12-11,0.021385
RSP,previousYear,2025-12-12,0.00531
RSP,previousYear,2025-12-13,0.00531
RSP,previousYear,2025-12-14,0.00531
RSP,previousYear,2025-12-15,0.00403
RSP,previousYear,2025-12-16,-0.016942
RSP,previousYear,2025-12-17,0.00913
RSP,previousYear,2025-12-18,0.017169
RSP,previousYear,2025-12-19,0.001606
RSP,previousYear,2025-12-20,0.001606
RSP,previousYear,2025-12-21,0.001606
RSP,previousYear,2025-12-22,-0.015662
RSP,previousYear,2025-12-23,-0.01519
RSP,previousYear,2025-12-24,-0.010026
RSP,previousYear,2025-12-25,-0.010026
RSP,previousYear,2025-12-26,0.004608
RSP,previousYear,2025-12-27,0.004608
RSP,previousYear,2025-12-28,0.004608
RSP,previousYear,2025-12-29,0.015114
RSP,previousYear,2025-12-30,0.024301
RSP,previousYear,2025-12-31,0.017619
RSP,q1,2026-01-01,0.017619
RSP,q1,2026-01-02,-0.006243
RSP,q1,2026-01-03,-0.006243
RSP,q1,2026-01-04,-0.006243
RSP,q1,2026-01-05,0.01285
RSP,q1,2026-01-06,-0.002091
RSP,q1,2026-01-07,0.005371
RSP,q1,2026-01-08,-0.013779
RSP,q1,2026-01-09,-0.005676
RSP,q1,2026-01-10,-0.005676
RSP,q1,2026-01-11,-0.005676
RSP,q1,2026-01-12,-0.007256
RSP,q1,2026-01-13,-0.010501
RSP,q1,2026-01-14,0.034629
RSP,q1,2026-01-15,0.012168
RSP,q1,2026-01-16,0.013859
RSP,q1,2026-01-17,0.013859
RSP,q1,2026-01-18,0.013859
RSP,q1,2026-01-19,0.013859
RSP,q1,2026-01-20,0.016398
RSP,q1,2026-01-21,0.010851
RSP,q1,2026-01-22,0.005022
RSP,q1,2026-01-23,-0.013117
RSP,q1,2026-01-24,-0.013117
RSP,q1,2026-01-25,-0.013117
RSP,q1,2026-01-26,-0.001877
RSP,q1,2026-01-27,-0.001805
RSP,q1,2026-01-28,-0.018051
RSP,q1,2026-01-29,-0.041831
RSP,q1,2026-01-30,0.011132
RSP,q1,2026-01-31,0.011132
RSP,q1,2026-02-01,0.011132
RSP,q1,2026-02-02,0.006052
RSP,q1,2026-02-03,-0.007727
RSP,q1,2026-02-04,-0.005159
RSP,q1,2026-02-05,-0.01965
RSP,q1,2026-02-06,-0.016643
RSP,q1,2026-02-07,-0.016643
RSP,q1,2026-02-08,-0.016643
RSP,q1,2026-02-09,-0.020371
RSP,q1,2026-02-10,-0.003885
RSP,q1,2026-02-11,-0.025746
RSP,q1,2026-02-12,-0.005275
RSP,q1,2026-02-13,-0.012304
RSP,q1,2026-02-14,-0.012304
RSP,q1,2026-02-15,-0.012304
RSP,q1,2026-02-16,-0.012304
RSP,q1,2026-02-17,0.048513
RSP,q1,2026-02-18,0.004355
RSP,q1,2026-02-19,0.020549
RSP,q1,2026-02-20,0.007116
RSP,q1,2026-02-21,0.007116
RSP,q1,2026-02-22,0.007116
RSP,q1,2026-02-23,0.029052
RSP,q1,2026-02-24,0.016331
